danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,duration,track_uri,clusterId
0.454,0.695,7,-4.143,0.0314,0.0186,0.0,0.0952,0.271,77.996,Ref:rain,290147,spotify:track:5Fl7lwRIxawx0KKkHjOrYv,2
0.422,0.67,4,-6.137,0.0586,0.0709,0.0,0.0944,0.551,170.19,生命線,255520,spotify:track:4Ut1yVtaTsq0Mp6F2V2yJC,2
0.507,0.808,6,-6.908,0.0535,0.0925,0.000152,0.0585,0.42,163.921,kIng,230827,spotify:track:11lbUUMW8T5MFpHTYLulmg,2
0.707,0.292,2,-9.767,0.0309,0.724,0.00235,0.235,0.637,80.016,嘘月,290467,spotify:track:4MwVirVMyerMiHkFomOZay,2
0.608,0.712,7,-4.47,0.0338,0.506,0.0,0.167,0.545,144.967,神無-KANNA-,288787,spotify:track:7e075JlKGuMFroDv7xev13,2
0.693,0.632,4,-4.52,0.026,0.702,0.0,0.0985,0.365,129.977,Again,293849,spotify:track:12ad0oPQaR6X6Jcoqz8rcz,2
0.504,0.526,0,-6.585,0.0339,0.468,9.62e-05,0.179,0.168,75.02,remember,350120,spotify:track:4LnRLsKhypMfOqExy6QanW,2
0.398,0.803,7,-3.224,0.0594,0.0255,0.0,0.0591,0.519,168.978,嘘じゃない,259600,spotify:track:47Old3TEOc2v4eOOv5pA6H,2
0.492,0.773,6,-3.574,0.0422,0.0197,0.0,0.0574,0.443,130.022,慈雨のくちづけ,239500,spotify:track:4Bamu5HdJivM0dhPTvuxyg,2
0.613,0.857,7,-5.272,0.0271,0.0686,7.93e-05,0.256,0.698,147.974,色香水,250792,spotify:track:7FpABRyv5TaZz0llkhjPgc,4
0.485,0.888,11,-3.326,0.0489,0.00277,1.16e-06,0.373,0.282,142.983,白銀,264667,spotify:track:0f5hcKLCRgpdVV424X4XDQ,4
0.708,0.721,1,-3.815,0.0718,0.049,0.0,0.0731,0.525,97.992,Hands Up to the Sky,212147,spotify:track:7kiWVIA95A2H7TMYSrA0b5,2
0.619,0.802,0,-6.618,0.0629,0.0831,0.0,0.361,0.535,109.982,BOY,231386,spotify:track:3oQaOjaIYPsnJbGNzXcIID,4
0.577,0.349,10,-6.049,0.032,0.885,2.45e-05,0.0777,0.409,129.952,星瞬~Star Wink~,342707,spotify:track:2GbqVrrJzEqVjMvRgbmBBG,2
0.597,0.895,8,-4.225,0.173,0.0463,0.0,0.299,0.498,134.985,EVERBLUE,241867,spotify:track:5RmtuRIe8FJg9FRegwCqzW,0
